Generate random seed 7134343056581634
12	0.000   0.0000   1000
Generate random seed 7134391415353790
13	0.000   0.0000   1000
Generate random seed 7134546821797305
14	0.000   0.0000   1000
Generate random seed 7134593458193872
15	0.000   0.0000   1000
Generate random seed 7134641816967000
16	1.000   0.0000   1000
Generate random seed 7134840386130125
17	1.000   0.0000   1000
Generate random seed 7134902561106310
18	1.000   0.0000   1000
Generate random seed 7135095950745195
19	1.000   0.0000   1000
Generate random seed 7135146036028738
20	1.000   0.0000   1000
Generate random seed 7135303168986132
21	1.000   0.0000   1000
Generate random seed 7135572525011821
22	1.000   0.0000   1000
Generate random seed 7135762461637306
23	1.000   0.0000   1000
Generate random seed 7135810824547293
24	1.000   0.0000   1000
Generate random seed 7135983496087128
25	1.000   0.0000   1000
Generate random seed 7136042218050529
26	1.000   0.0000   1000
Generate random seed 7136492857501428
27	1.000   0.0000   1000
Generate random seed 7136563665027957
28	1.000   0.0000   1000
Generate random seed 7136757054677140
29	1.000   0.0000   1000
Generate random seed 7136824413320980
30	1.000   0.0000   1000
Generate random seed 7136981550421640
31	1.000   0.0000   1000
Generate random seed 7137145593558520
32	1.000   0.0000   1000
