Generate random seed 6107722807333468
3	0.000   0.0000   1000
Generate random seed 6107857585619100
6	0.000   0.0000   1000
Generate random seed 6107930197709204
9	0.000   0.0000   1000
Generate random seed 6108085747567300
12	0.000   0.0000   1000
Generate random seed 6108312143201067
15	0.000   0.0000   1000
Generate random seed 6108426277225746
18	0.005   0.0050   1000
Generate random seed 6108533522759255
21	0.017   0.0167   1000
Generate random seed 6108613154198841
24	0.049   0.0466   1000
Generate random seed 6108694534288958
27	0.102   0.0916   1000
Generate random seed 6108791478921600
30	0.177   0.1457   1000
Generate random seed 6108864260780552
33	0.281   0.2020   1000
Generate random seed 6108973343399615
36	0.336   0.2231   1000
Generate random seed 6109047898674238
39	0.433   0.2455   1000
Generate random seed 6109117292888670
42	0.514   0.2498   1000
Generate random seed 6109203979080752
45	0.581   0.2434   1000
Generate random seed 6109283780322600
48	0.634   0.2320   1000
Generate random seed 6109363602793360
51	0.664   0.2231   1000
Generate random seed 6109515998516480
54	0.708   0.2067   1000
Generate random seed 6110357666814630
57	0.726   0.1989   1000
Generate random seed 6110572317285787
60	0.757   0.1840   1000
Generate random seed 6110780100520508
63	0.770   0.1771   1000
Generate random seed 6110944772337288
66	0.796   0.1624   1000
Generate random seed 6111116428195269
69	0.798   0.1612   1000
Generate random seed 6111369513872798
72	0.816   0.1501   1000
Generate random seed 6111640167579930
75	0.833   0.1391   1000
Generate random seed 6112002824572092
78	0.832   0.1398   1000
Generate random seed 6112445877750564
81	0.845   0.1310   1000
Generate random seed 6113129242093276
84	0.855   0.1240   1000
Generate random seed 6114378104648310
87	0.860   0.1204   1000
Generate random seed 6120191798920068
90	0.858   0.1218   1000
Generate random seed 6127778656787040
93	0.875   0.1094   1000
Generate random seed 6142020537216408
