Generate random seed 5846586140548692
3	0.000   0.0000   1000
Generate random seed 5847066416669660
6	0.000   0.0000   1000
Generate random seed 5847422353616242
9	0.000   0.0000   1000
Generate random seed 5847773135589315
12	0.000   0.0000   1000
Generate random seed 5848011666497787
15	0.000   0.0000   1000
Generate random seed 5848272642895472
18	0.003   0.0030   1000
Generate random seed 5848626971044787
21	0.006   0.0060   1000
Generate random seed 5848995114687088
24	0.013   0.0128   1000
Generate random seed 5849361524227420
27	0.030   0.0291   1000
Generate random seed 5849591496321644
30	0.033   0.0319   1000
Generate random seed 5849933746623167
33	0.042   0.0402   1000
Generate random seed 5850067007096848
36	0.066   0.0616   1000
Generate random seed 5850578643419136
39	0.059   0.0555   1000
Generate random seed 5851014255767808
42	0.103   0.0924   1000
Generate random seed 5852045823308181
45	0.098   0.0884   1000
Generate random seed 5887697115046500
48	0.109   0.0971   1000
Generate random seed 5889525057913068
51	0.139   0.1197   1000
Generate random seed 5890164657521008
54	0.152   0.1289   1000
Generate random seed 5890735142465960
57	0.166   0.1384   1000
Generate random seed 5891353993516464
60	0.165   0.1378   1000
Generate random seed 5904967846935258
63	0.202   0.1612   1000
Generate random seed 5905325933085168
66	0.194   0.1564   1000
Generate random seed 5905829291757645
69	0.220   0.1716   1000
Generate random seed 5906099351161044
72	0.237   0.1808   1000
Generate random seed 5907694373339360
75	0.238   0.1814   1000
Generate random seed 5909576267450462
78	0.271   0.1976   1000
Generate random seed 5911048627393960
81	0.282   0.2025   1000
Generate random seed 5912712758768192
84	0.289   0.2055   1000
Generate random seed 5914440833643594
87	0.315   0.2158   1000
Generate random seed 5916735671304522
90	0.328   0.2204   1000
Generate random seed 5919945921360900
93	0.351   0.2278   1000
Generate random seed 5920516796743668
96	0.384   0.2365   1000
Generate random seed 5920880416454808
99	0.385   0.2368   1000
Generate random seed 5921664220306863
102	0.384   0.2365   1000
Generate random seed 5922259310138615
105	0.425   0.2444   1000
Generate random seed 5922676481925282
108	0.405   0.2410   1000
Generate random seed 5923264686639988
111	0.445   0.2470   1000
Generate random seed 5923573062335480
114	0.448   0.2473   1000
Generate random seed 5924182036866876
117	0.468   0.2490   1000
Generate random seed 5924620019858845
120	0.480   0.2496   1000
Generate random seed 5925334339866438
123	0.482   0.2497   1000
Generate random seed 5926955611445024
126	0.524   0.2494   1000
Generate random seed 5927488757930160
129	0.537   0.2486   1000
Generate random seed 5928213662574696
132	0.530   0.2491   1000
Generate random seed 5928805982640195
135	0.549   0.2476   1000
Generate random seed 5929282140519920
138	0.567   0.2455   1000
Generate random seed 5929901989119840
141	0.570   0.2451   1000
Generate random seed 5930436936197529
144	0.588   0.2423   1000
Generate random seed 5930920048788420
147	0.620   0.2356   1000
Generate random seed 5931368627987505
150	0.607   0.2386   1000
Generate random seed 5931692891938560
153	0.623   0.2349   1000
Generate random seed 5932404230396655
156	0.643   0.2296   1000
Generate random seed 5933107426958946
159	0.657   0.2254   1000
Generate random seed 5934211194651517
162	0.658   0.2250   1000
Generate random seed 5935057196856040
165	0.623   0.2349   1000
Generate random seed 5938167803602176
168	0.693   0.2128   1000
Generate random seed 5942582585593900
171	0.667   0.2221   1000
Generate random seed 5949716269534000
174	0.675   0.2194   1000
Generate random seed 5951217014521344
177	0.695   0.2120   1000
Generate random seed 5951683137870659
180	0.684   0.2161   1000
Generate random seed 5952567212754840
183	0.712   0.2051   1000
Generate random seed 5953404659375232
186	0.730   0.1971   1000
Generate random seed 5954275009172490
189	0.720   0.2016   1000
Generate random seed 5954912660633020
192	0.719   0.2020   1000
Generate random seed 5955847306806963
195	0.766   0.1792   1000
Generate random seed 5956228732146984
198	0.741   0.1919   1000
