Generate random seed 4142659342493367
3	0.002   0.0020   1000
Generate random seed 4142830352676392
6	0.005   0.0050   1000
Generate random seed 4142899475419320
9	0.005   0.0050   1000
Generate random seed 4142972069173270
12	0.015   0.0148   1000
Generate random seed 4143055039976996
15	0.020   0.0196   1000
Generate random seed 4143195019779663
18	0.031   0.0300   1000
Generate random seed 4143310834452948
21	0.036   0.0347   1000
Generate random seed 4143374847849072
24	0.052   0.0493   1000
Generate random seed 4143454422025873
27	0.066   0.0616   1000
Generate random seed 4143597911250000
30	0.086   0.0786   1000
Generate random seed 4143680966048800
33	0.112   0.0995   1000
Generate random seed 4143815848534502
36	0.116   0.1025   1000
Generate random seed 4143997379785438
39	0.121   0.1064   1000
Generate random seed 4144064931412474
42	0.133   0.1153   1000
Generate random seed 4144175677585930
45	0.147   0.1254   1000
Generate random seed 4144497147969200
48	0.170   0.1411   1000
Generate random seed 4144592376583923
51	0.215   0.1688   1000
Generate random seed 4144730802159192
54	0.198   0.1588   1000
Generate random seed 4144903781954376
57	0.243   0.1840   1000
Generate random seed 4145030144194280
60	0.243   0.1840   1000
Generate random seed 4145204882343291
63	0.266   0.1952   1000
Generate random seed 4145377903007740
66	0.284   0.2033   1000
Generate random seed 4145502579000775
69	0.283   0.2029   1000
Generate random seed 4145663538742336
72	0.308   0.2131   1000
Generate random seed 4145795154426808
75	0.359   0.2301   1000
Generate random seed 4145906059203348
78	0.334   0.2224   1000
Generate random seed 4146044612183348
81	0.373   0.2339   1000
Generate random seed 4146260902008495
84	0.380   0.2356   1000
Generate random seed 4146394300121088
87	0.394   0.2388   1000
Generate random seed 4146636520708044
90	0.413   0.2424   1000
Generate random seed 4146797581487976
93	0.448   0.2473   1000
Generate random seed 4147212542196765
96	0.449   0.2474   1000
Generate random seed 4147437537446931
99	0.486   0.2498   1000
Generate random seed 5971270789020572
102	0.446   0.2471   1000
Generate random seed 5971826248312510
105	0.492   0.2499   1000
Generate random seed 5972148383971238
108	0.515   0.2498   1000
Generate random seed 5972415433813685
111	0.504   0.2500   1000
Generate random seed 5972682328153569
114	0.530   0.2491   1000
Generate random seed 5973044252552736
117	0.556   0.2469   1000
Generate random seed 5973366471573080
120	0.565   0.2458   1000
Generate random seed 5973636890093740
123	0.574   0.2445   1000
Generate random seed 5973919434933594
126	0.569   0.2452   1000
Generate random seed 5974202000617248
129	0.598   0.2404   1000
Generate random seed 5974493220584752
132	0.598   0.2404   1000
Generate random seed 5974779279266216
135	0.631   0.2328   1000
Generate random seed 5975060176661901
138	0.651   0.2272   1000
Generate random seed 5975332471848544
141	0.643   0.2296   1000
Generate random seed 5975620361989326
144	0.664   0.2231   1000
Generate random seed 5975816704519717
147	0.682   0.2169   1000
Generate random seed 5976092530872340
150	0.695   0.2120   1000
Generate random seed 5976408322372576
153	0.701   0.2096   1000
Generate random seed 5976694558230077
156	0.707   0.2072   1000
Generate random seed 5976909985373885
159	0.704   0.2084   1000
Generate random seed 5977120251219606
162	0.711   0.2055   1000
Generate random seed 5977430809174723
165	0.743   0.1910   1000
Generate random seed 5977743042744872
168	0.755   0.1850   1000
Generate random seed 5977972372414644
171	0.737   0.1938   1000
Generate random seed 5978270835618267
174	0.744   0.1905   1000
Generate random seed 5978617606883961
177	0.760   0.1824   1000
Generate random seed 5978852087900032
180	0.782   0.1705   1000
Generate random seed 5979250795224514
183	0.775   0.1744   1000
Generate random seed 5979473489400132
186	0.780   0.1716   1000
Generate random seed 5979699427301664
189	0.830   0.1411   1000
Generate random seed 5980011824641360
192	0.800   0.1600   1000
Generate random seed 5980325980679245
195	0.816   0.1501   1000
Generate random seed 5980552036653975
198	0.812   0.1527   1000
