Generate random seed 6993708304877784
3	0.000   0.0000   1000
Generate random seed 6993879358828410
6	0.000   0.0000   1000
Generate random seed 6993951938825688
9	0.000   0.0000   1000
Generate random seed 6994034884502820
12	0.000   0.0000   1000
Generate random seed 6994117830180432
15	0.000   0.0000   1000
Generate random seed 6994197320632026
18	1.000   0.0000   1000
Generate random seed 6994269900631064
21	1.000   0.0000   1000
Generate random seed 6994342480630522
24	1.000   0.0000   1000
Generate random seed 6994416792292265
27	1.000   0.0000   1000
Generate random seed 6994489372292610
30	1.000   0.0000   1000
Generate random seed 6994567143230576
33	1.000   0.0000   1000
Generate random seed 6994644918217905
36	1.000   0.0000   1000
Generate random seed 6994812541243680
39	1.000   0.0000   1000
Generate random seed 6994992289956210
42	1.000   0.0000   1000
Generate random seed 6995505536883081
45	1.000   0.0000   1000
Generate random seed 6995889399102149
48	1.000   0.0000   1000
Generate random seed 6996596920414644
51	1.000   0.0000   1000
Generate random seed 6997667631618720
54	1.000   0.0000   1000
Generate random seed 7001881994099211
57	1.000   0.0000   1000
Generate random seed 7008929469748800
60	1.000   0.0000   1000
Generate random seed 7061683517931924
