Generate random seed 6995109796004644
3	0.000   0.0000   1000
Generate random seed 6995296418734520
6	0.000   0.0000   1000
Generate random seed 6995417416454640
9	0.000   0.0000   1000
Generate random seed 6995598904940450
12	0.000   0.0000   1000
Generate random seed 6995721678871688
15	0.000   0.0000   1000
Generate random seed 6995835834986882
18	1.000   0.0000   1000
Generate random seed 6996024302782570
21	1.000   0.0000   1000
Generate random seed 6996212798934240
24	1.000   0.0000   1000
Generate random seed 6996390953713024
27	1.000   0.0000   1000
Generate random seed 6996486215447144
30	1.000   0.0000   1000
Generate random seed 6996809582944455
33	1.000   0.0000   1000
Generate random seed 6997003472588697
36	1.000   0.0000   1000
Generate random seed 6997213097090010
39	1.000   0.0000   1000
Generate random seed 6997355741606100
42	1.000   0.0000   1000
Generate random seed 6997903632237952
45	1.000   0.0000   1000
Generate random seed 6999939812684928
48	1.000   0.0000   1000
Generate random seed 7003618510237224
51	1.000   0.0000   1000
Generate random seed 7008828922418190
54	1.000   0.0000   1000
Generate random seed 7023369328144925
