Generate random seed 5844916187990544
3	0.000   0.0000   1000
Generate random seed 5845126989698034
6	0.000   0.0000   1000
Generate random seed 5845239355811777
9	0.000   0.0000   1000
Generate random seed 5845346546629095
12	0.000   0.0000   1000
Generate random seed 5845434763606668
15	0.000   0.0000   1000
Generate random seed 5845548911232510
18	0.003   0.0030   1000
Generate random seed 5845632000296550
21	0.012   0.0119   1000
Generate random seed 5845711648190148
24	0.019   0.0186   1000
Generate random seed 5845889765543428
27	0.031   0.0300   1000
Generate random seed 5846807259072330
30	0.050   0.0475   1000
Generate random seed 5847664291828254
33	0.075   0.0694   1000
Generate random seed 5848391847417463
36	0.114   0.1010   1000
Generate random seed 5848763516856468
39	0.137   0.1182   1000
Generate random seed 5849247498373378
42	0.174   0.1437   1000
Generate random seed 5849705596684984
45	0.206   0.1636   1000
Generate random seed 5850191468231740
48	0.234   0.1792   1000
Generate random seed 5850870732711837
51	0.255   0.1900   1000
Generate random seed 5852204807922373
54	0.282   0.2025   1000
Generate random seed 5889277831019445
57	0.326   0.2197   1000
Generate random seed 5889931246033646
60	0.386   0.2370   1000
Generate random seed 5890538128213248
63	0.410   0.2419   1000
Generate random seed 5891217487916917
66	0.441   0.2465   1000
Generate random seed 5904858961854864
69	0.482   0.2497   1000
Generate random seed 5905388128231800
72	0.526   0.2493   1000
Generate random seed 5905720444254048
75	0.546   0.2479   1000
Generate random seed 5907225766696288
78	0.563   0.2460   1000
Generate random seed 5907879364882528
81	0.600   0.2400   1000
Generate random seed 5909821620836670
84	0.625   0.2344   1000
Generate random seed 5911630935627888
87	0.646   0.2287   1000
Generate random seed 5913348635801450
90	0.667   0.2221   1000
Generate random seed 5915133730801281
93	0.701   0.2096   1000
Generate random seed 5917086407543349
96	0.694   0.2124   1000
Generate random seed 5920065153753204
99	0.720   0.2016   1000
Generate random seed 5921418873360615
102	0.745   0.1900   1000
Generate random seed 5922145287162850
105	0.767   0.1787   1000
Generate random seed 5922562458931416
108	0.776   0.1738   1000
Generate random seed 5923140292599270
111	0.793   0.1642   1000
Generate random seed 5923713115822858
114	0.785   0.1688   1000
Generate random seed 5924313457009232
117	0.804   0.1576   1000
Generate random seed 5924941511648112
120	0.811   0.1533   1000
Generate random seed 5925940966660635
123	0.838   0.1358   1000
Generate random seed 5927147808537396
126	0.834   0.1384   1000
Generate random seed 5927902095374055
129	0.844   0.1317   1000
Generate random seed 5928468099847980
132	0.851   0.1268   1000
Generate random seed 5928963389015440
135	0.862   0.1190   1000
Generate random seed 5929569391063230
138	0.861   0.1197   1000
Generate random seed 5930298472327609
141	0.868   0.1146   1000
Generate random seed 5931088368942179
144	0.874   0.1101   1000
Generate random seed 5932599821231276
147	0.882   0.1041   1000
Generate random seed 5934899652469660
150	0.881   0.1048   1000
Generate random seed 5950833452321628
153	0.883   0.1033   1000
Generate random seed 5955268995705476
156	0.896   0.0932   1000
